user2 2017-01-17	Tue	hour:7 		response time:  6:15:00
user2 2017-01-17	Tue	hour:13 		response time:  0:00:00
user1 2017-01-17	Tue	hour:19 		response time:  0:00:00
user1 2017-01-17	Tue	hour:19 		response time:  0:01:00
user1 2017-01-17	Tue	hour:19 		response time:  0:05:00
user1 2017-01-20	Fri	hour:23 		response time:  0:12:00
user1 2017-01-21	Sat	hour:14 		response time:  0:00:00
user3 2017-01-21	Sat	hour:17 		response time:  0:25:00
user2 2017-01-24	Tue	hour:19 		response time:  0:01:00
user2 2017-01-24	Tue	hour:19 		response time:  0:02:00
user1 2017-01-24	Tue	hour:21 		response time:  0:02:00
user1 2017-01-24	Tue	hour:21 		response time:  0:00:00
user1 2017-01-24	Tue	hour:21 		response time:  0:00:00
user1 2017-01-25	Wed	hour:15 		response time:  0:14:00
user3 2017-01-25	Wed	hour:15 		response time:  0:02:00
user2 2017-01-26	Thu	hour:18 		response time:  0:01:00
user1 2017-01-26	Thu	hour:20 		response time:  0:03:00
user1 2017-01-26	Thu	hour:20 		response time:  0:00:00
user3 2017-01-26	Thu	hour:20 		response time:  0:00:00
user1 2017-01-26	Thu	hour:20 		response time:  0:00:00
user1 2017-01-26	Thu	hour:20 		response time:  0:00:00
user1 2017-01-26	Thu	hour:20 		response time:  0:00:00
user1 2017-01-26	Thu	hour:20 		response time:  0:04:00
user1 2017-01-26	Thu	hour:22 		response time:  0:03:00
user2 2017-01-26	Thu	hour:22 		response time:  0:00:00
user1 2017-01-26	Thu	hour:22 		response time:  0:01:00
user2 2017-01-26	Thu	hour:23 		response time:  0:00:00
user1 2017-01-26	Thu	hour:23 		response time:  0:01:00
user1 2017-01-27	Fri	hour:0 		response time:  0:00:00
user3 2017-01-27	Fri	hour:0 		response time:  0:00:00
user1 2017-01-27	Fri	hour:0 		response time:  0:01:00
user3 2017-01-27	Fri	hour:0 		response time:  0:00:00
user2 2017-01-27	Fri	hour:0 		response time:  0:00:00
user3 2017-01-27	Fri	hour:0 		response time:  0:00:00
user3 2017-01-27	Fri	hour:1 		response time:  0:01:00
user2 2017-01-27	Fri	hour:14 		response time:  0:01:00
user2 2017-01-27	Fri	hour:15 		response time:  0:02:00
user2 2017-01-27	Fri	hour:15 		response time:  0:00:00
user2 2017-01-27	Fri	hour:15 		response time:  0:00:00
user2 2017-01-27	Fri	hour:15 		response time:  0:00:00
user2 2017-01-27	Fri	hour:15 		response time:  0:00:00
user3 2017-01-27	Fri	hour:15 		response time:  0:00:00
user2 2017-01-27	Fri	hour:15 		response time:  0:00:00
user3 2017-01-27	Fri	hour:15 		response time:  0:01:00
user3 2017-01-27	Fri	hour:15 		response time:  0:05:00
user1 2017-01-27	Fri	hour:16 		response time:  0:04:00
user1 2017-01-27	Fri	hour:17 		response time:  0:00:00
user2 2017-01-27	Fri	hour:21 		response time:  0:06:00
user2 2017-01-27	Fri	hour:22 		response time:  0:01:00
user1 2017-01-27	Fri	hour:22 		response time:  0:01:00
user1 2017-01-27	Fri	hour:22 		response time:  0:00:00
user1 2017-01-27	Fri	hour:22 		response time:  0:01:00
user2 2017-01-27	Fri	hour:22 		response time:  0:01:00
user2 2017-01-27	Fri	hour:22 		response time:  0:01:00
user2 2017-01-27	Fri	hour:22 		response time:  0:00:00
user3 2017-01-27	Fri	hour:22 		response time:  0:00:00
user3 2017-01-27	Fri	hour:22 		response time:  0:00:00
user2 2017-01-27	Fri	hour:22 		response time:  0:00:00
user2 2017-01-28	Sat	hour:11 		response time:  0:02:00
user2 2017-01-29	Sun	hour:22 		response time:  0:09:00
user3 2017-01-29	Sun	hour:22 		response time:  0:00:00
user2 2017-01-29	Sun	hour:22 		response time:  0:00:00
user3 2017-01-29	Sun	hour:22 		response time:  0:00:00
user2 2017-01-29	Sun	hour:22 		response time:  0:00:00
user3 2017-01-29	Sun	hour:22 		response time:  0:00:00
user2 2017-01-29	Sun	hour:22 		response time:  0:00:00
user2 2017-01-29	Sun	hour:22 		response time:  0:00:00
user3 2017-01-29	Sun	hour:22 		response time:  0:00:00
user2 2017-01-29	Sun	hour:22 		response time:  0:01:00
user1 2017-01-29	Sun	hour:22 		response time:  0:00:00
user3 2017-01-29	Sun	hour:22 		response time:  0:00:00
user2 2017-01-29	Sun	hour:22 		response time:  0:01:00
user3 2017-01-29	Sun	hour:23 		response time:  0:04:00
user2 2017-01-29	Sun	hour:23 		response time:  0:02:00
user2 2017-01-29	Sun	hour:23 		response time:  0:00:00
user2 2017-01-29	Sun	hour:23 		response time:  0:00:00
user2 2017-01-29	Sun	hour:23 		response time:  0:00:00
user1 2017-01-30	Mon	hour:0 		response time:  0:00:00
user2 2017-01-30	Mon	hour:10 		response time:  0:05:00
user3 2017-01-30	Mon	hour:15 		response time:  0:00:00
user1 2017-01-30	Mon	hour:15 		response time:  0:02:00
user3 2017-01-30	Mon	hour:15 		response time:  0:01:00
user2 2017-01-30	Mon	hour:16 		response time:  0:11:00
user3 2017-01-30	Mon	hour:16 		response time:  0:00:00
user1 2017-01-30	Mon	hour:17 		response time:  0:42:00
user1 2017-01-30	Mon	hour:18 		response time:  0:04:00
user2 2017-01-30	Mon	hour:18 		response time:  0:04:00
user1 2017-01-30	Mon	hour:22 		response time:  0:01:00
user2 2017-01-30	Mon	hour:22 		response time:  0:00:00
user2 2017-01-31	Tue	hour:0 		response time:  0:00:00
user1 2017-01-31	Tue	hour:0 		response time:  0:00:00
user3 2017-01-31	Tue	hour:0 		response time:  0:01:00
user1 2017-01-31	Tue	hour:0 		response time:  0:08:00
user3 2017-01-31	Tue	hour:14 		response time:  4:09:00
user2 2017-01-31	Tue	hour:23 		response time:  0:00:00
user2 2017-02-01	Wed	hour:18 		response time:  0:09:00
user2 2017-02-01	Wed	hour:18 		response time:  0:01:00
user2 2017-02-01	Wed	hour:18 		response time:  0:09:00
user2 2017-02-01	Wed	hour:23 		response time:  0:06:00
user1 2017-02-01	Wed	hour:23 		response time:  0:04:00
user2 2017-02-02	Thu	hour:10 		response time:  0:00:00
user2 2017-02-02	Thu	hour:10 		response time:  0:00:00
user2 2017-02-02	Thu	hour:10 		response time:  0:00:00
user2 2017-02-02	Thu	hour:10 		response time:  0:00:00
user3 2017-02-02	Thu	hour:10 		response time:  0:00:00
user2 2017-02-02	Thu	hour:10 		response time:  0:00:00
user3 2017-02-02	Thu	hour:18 		response time:  0:02:00
user2 2017-02-02	Thu	hour:19 		response time:  0:30:00
user1 2017-02-02	Thu	hour:19 		response time:  0:27:00
user1 2017-02-04	Sat	hour:11 		response time:  0:00:00
user1 2017-02-04	Sat	hour:11 		response time:  0:00:00
user1 2017-02-04	Sat	hour:11 		response time:  0:04:00
user2 2017-02-04	Sat	hour:13 		response time:  0:01:00
user1 2017-02-04	Sat	hour:13 		response time:  0:08:00
user2 2017-02-04	Sat	hour:14 		response time:  0:02:00
user2 2017-02-04	Sat	hour:14 		response time:  0:00:00
user2 2017-02-04	Sat	hour:14 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:03:00
user2 2017-02-04	Sat	hour:18 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:01:00
user3 2017-02-04	Sat	hour:18 		response time:  0:01:00
user2 2017-02-04	Sat	hour:18 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:00:00
user3 2017-02-04	Sat	hour:18 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:00:00
user2 2017-02-04	Sat	hour:18 		response time:  0:01:00
user1 2017-02-04	Sat	hour:22 		response time:  0:08:00
user3 2017-02-05	Sun	hour:14 		response time:  0:00:00
user1 2017-02-05	Sun	hour:14 		response time:  0:00:00
user1 2017-02-05	Sun	hour:14 		response time:  0:00:00
user1 2017-02-05	Sun	hour:14 		response time:  0:00:00
user3 2017-02-05	Sun	hour:14 		response time:  0:00:00
user3 2017-02-06	Mon	hour:18 		response time:  0:01:00
user2 2017-02-07	Tue	hour:7 		response time:  7:38:00
user1 2017-02-07	Tue	hour:18 		response time:  0:04:00
user2 2017-02-07	Tue	hour:18 		response time:  0:01:00
user1 2017-02-07	Tue	hour:19 		response time:  0:10:00
user1 2017-02-07	Tue	hour:20 		response time:  0:03:00
user1 2017-02-07	Tue	hour:20 		response time:  0:02:00
user1 2017-02-07	Tue	hour:20 		response time:  0:01:00
user3 2017-02-07	Tue	hour:20 		response time:  0:00:00
user1 2017-02-07	Tue	hour:20 		response time:  0:11:00
user1 2017-02-07	Tue	hour:21 		response time:  0:10:00
user1 2017-02-07	Tue	hour:21 		response time:  0:16:00
user2 2017-02-07	Tue	hour:21 		response time:  0:04:00
user1 2017-02-07	Tue	hour:22 		response time:  0:00:00
user1 2017-02-07	Tue	hour:22 		response time:  0:01:00
user2 2017-02-07	Tue	hour:22 		response time:  0:01:00
user2 2017-02-07	Tue	hour:22 		response time:  0:00:00
user1 2017-02-07	Tue	hour:22 		response time:  0:00:00
