user7 2017-02-07	Tue	hour:20 		response time:  0:03:00
user1 2017-02-07	Tue	hour:20 		response time:  0:00:00
user1 2017-02-07	Tue	hour:20 		response time:  0:00:00
user1 2017-02-08	Wed	hour:22 		response time:  0:11:00
user1 2017-02-08	Wed	hour:23 		response time:  0:00:00
user7 2017-02-11	Sat	hour:16 		response time:  0:01:00
user1 2017-02-11	Sat	hour:18 		response time:  0:00:00
user1 2017-02-11	Sat	hour:18 		response time:  0:00:00
user7 2017-02-11	Sat	hour:18 		response time:  0:00:00
user7 2017-02-11	Sat	hour:18 		response time:  0:00:00
user7 2017-02-11	Sat	hour:19 		response time:  0:54:00
user1 2017-02-11	Sat	hour:19 		response time:  0:48:00
user1 2017-02-13	Mon	hour:15 		response time:  0:01:00
user7 2017-02-21	Tue	hour:13 		response time:  0:10:00
user1 2017-02-21	Tue	hour:13 		response time:  0:09:00
user1 2017-02-21	Tue	hour:15 		response time:  0:51:00
user7 2017-02-25	Sat	hour:20 		response time:  0:01:00
user1 2017-02-25	Sat	hour:20 		response time:  0:00:00
user7 2017-02-26	Sun	hour:17 		response time:  0:00:00
user1 2017-02-26	Sun	hour:17 		response time:  0:01:00
user1 2017-02-26	Sun	hour:17 		response time:  0:00:00
user1 2017-02-26	Sun	hour:17 		response time:  0:00:00
user7 2017-02-26	Sun	hour:17 		response time:  0:00:00
user1 2017-02-26	Sun	hour:17 		response time:  0:00:00
user7 2017-02-26	Sun	hour:20 		response time:  0:02:00
user1 2017-02-26	Sun	hour:21 		response time:  0:06:00
user1 2017-02-26	Sun	hour:22 		response time:  0:01:00
user1 2017-03-08	Wed	hour:22 		response time:  0:51:00
user7 2017-03-27	Mon	hour:17 		response time:  0:00:00
user7 2017-03-27	Mon	hour:21 		response time:  0:14:00
user7 2017-03-29	Wed	hour:11 		response time:  0:05:00
user7 2017-03-29	Wed	hour:11 		response time:  0:01:00
user7 2017-03-29	Wed	hour:11 		response time:  0:00:00
user1 2017-03-29	Wed	hour:11 		response time:  0:00:00
user7 2017-03-29	Wed	hour:11 		response time:  0:01:00
user1 2017-03-29	Wed	hour:11 		response time:  0:00:00
user7 2017-03-29	Wed	hour:11 		response time:  0:00:00
user1 2017-03-29	Wed	hour:11 		response time:  0:00:00
user1 2017-04-05	Wed	hour:3 		response time:  0:01:00
user1 2017-04-05	Wed	hour:3 		response time:  0:01:00
user7 2017-05-11	Thu	hour:13 		response time:  0:03:00
user1 2017-05-16	Tue	hour:21 		response time:  0:00:00
user7 2017-05-16	Tue	hour:21 		response time:  0:00:00
user7 2017-05-16	Tue	hour:21 		response time:  0:00:00
user7 2017-06-08	Thu	hour:13 		response time:  0:06:00
user1 2017-06-08	Thu	hour:14 		response time:  0:09:00
user7 2017-06-19	Mon	hour:13 		response time:  0:06:00
user7 2017-06-19	Mon	hour:14 		response time:  0:02:00
user7 2017-06-26	Mon	hour:3 		response time:  0:07:00
user1 2017-06-29	Thu	hour:0 		response time:  0:08:00
user1 2017-06-29	Thu	hour:0 		response time:  0:03:00
user7 2017-06-29	Thu	hour:0 		response time:  0:00:00
user1 2017-07-13	Thu	hour:13 		response time:  1:30:00
